sn,location_raw,latitude,longitude,PH,EC,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,SO4,NO3,F,U_ppb,sample_date,NDVI,NDWI,Distance_to_Industry_km,Industrial_flag,hotspot_label,rain_actual_24h,rain_normal_24h,rain_pdn
621.0,Namakkal Velur,11.1083,78.0033,7.2,3200.0,860.0,72.0,165.0,242.0,23.0,0.0,177.0,773.0,193.0,8.0,1.59,5.69,2022-05-01,0.624,0.438,67.47,0,2,17.5,22.5,-22.22
622.0,Namakkal Vennandur,11.5125,78.0958,7.6,1416.0,510.0,64.0,85.0,127.0,5.0,0.0,464.0,177.0,80.0,55.0,0.84,0.0,2022-05-01,0.229,0.337,61.59,0,2,14.8,24.4,-39.34
623.0,Nilgiris Gudalur,11.4997,76.4861,6.85,418.0,170.0,44.0,15.0,16.0,12.0,0.0,98.0,71.0,48.0,3.0,0.15,0.0,2022-05-01,0.247,0.167,24.29,0,0,0.3,8.5,-96.47
624.0,Nilgiris Kothagiri,11.4333,76.8639,6.76,393.0,180.0,32.0,24.0,9.0,3.0,0.0,61.0,50.0,55.0,16.0,0.06,0.0,2022-05-01,0.359,0.044,28.67,0,0,5.0,19.4,-74.23
625.0,Nilgiris Mullur,11.3583,76.9083,6.82,289.0,130.0,28.0,15.0,5.0,2.0,0.0,49.0,36.0,57.0,1.0,0.34,0.0,2022-05-01,0.439,-0.015,31.43,0,0,4.3,5.8,-25.86
626.0,Nilgiris Nadugani,11.4708,76.4114,7.1,382.0,140.0,28.0,17.0,23.0,5.0,0.0,67.0,43.0,66.0,13.0,0.23,0.0,2022-05-01,0.533,0.331,19.13,0,0,5.4,13.1,-58.78
627.0,Nilgiris Pandalur,11.4778,76.3472,6.4,552.0,230.0,48.0,27.0,12.0,17.0,0.0,128.0,99.0,23.0,29.0,0.24,0.06,2022-05-01,0.358,0.442,12.76,0,1,5.0,15.3,-67.32
628.0,Nilgiris Udhagamandalam,11.3972,76.7,6.92,529.0,220.0,32.0,34.0,11.0,19.0,0.0,134.0,85.0,8.0,38.0,0.2,0.0,2022-05-01,0.424,0.351,10.93,0,1,1.3,16.6,-92.17
629.0,Nilgiris Wellington,11.3833,76.8083,6.67,387.0,200.0,48.0,19.0,3.0,3.0,0.0,98.0,85.0,5.0,18.0,0.12,0.0,2022-05-01,0.623,0.271,20.99,0,0,9.2,23.7,-61.18
630.0,Perambalur Ammapalayam,11.2135,78.7444,7.61,1289.0,415.0,42.0,75.0,99.0,10.0,0.0,470.0,92.0,96.0,31.0,0.3,15.74,2022-05-01,0.126,-0.071,28.22,0,1,14.7,18.4,-20.11
631.0,Perambalur Annukur,11.3293,78.8615,7.72,2100.0,350.0,22.0,72.0,313.0,10.0,0.0,244.0,355.0,278.4,65.0,1.05,5.99,2022-05-01,0.277,0.578,45.58,0,2,12.1,14.6,-17.12
632.0,Perambalur Chettikulam,11.1347,78.775,7.43,2320.0,400.0,66.0,57.0,338.0,13.0,0.0,85.0,248.0,403.68,372.0,0.55,44.66,2022-05-01,0.599,0.459,22.32,0,2,13.5,21.2,-36.32
633.0,Perambalur Chitali,11.2406,78.9682,7.8,3590.0,585.0,26.0,126.0,538.0,24.0,0.0,427.0,305.0,672.0,322.0,3.0,2.5,2022-05-01,0.727,0.105,45.87,0,2,1.6,24.0,-93.33
634.0,Perambalur Elaiyur,11.2714,78.8461,8.2,512.0,195.0,38.0,24.0,18.0,14.0,0.0,122.0,43.0,67.2,30.0,0.5,4.44,2022-05-01,0.458,0.586,39.24,0,1,19.0,5.4,251.85
635.0,Perambalur Essanai,11.069,79.0222,7.66,1230.0,325.0,36.0,57.0,127.0,9.0,0.0,183.0,142.0,168.0,93.0,0.79,38.49,2022-05-01,0.472,0.321,40.94,0,2,16.8,24.7,-31.98
636.0,Perambalur Kallampudur,11.235,78.8025,7.59,2420.0,590.0,20.0,131.0,276.0,10.0,0.0,427.0,149.0,432.0,223.0,1.13,44.37,2022-05-01,0.175,0.308,33.24,0,2,16.1,6.7,140.3
637.0,Perambalur Kunnam,11.3477,78.9491,7.87,3830.0,375.0,20.0,79.0,690.0,20.0,0.0,580.0,518.0,504.0,223.0,1.21,11.73,2022-05-01,0.413,0.424,52.86,0,2,16.5,21.3,-22.54
638.0,Perambalur Kurumbalur,11.1626,78.7203,7.86,1550.0,460.0,40.0,88.0,145.0,8.0,0.0,317.0,177.0,144.0,161.0,0.62,19.27,2022-05-01,0.473,0.468,21.98,0,2,18.7,10.6,76.42
639.0,Perambalur Mangalamedu,11.2306,78.8922,8.16,1640.0,90.0,10.0,16.0,329.0,1.0,0.0,439.0,142.0,153.6,124.0,1.26,16.27,2022-05-01,0.27,0.36,38.92,0,2,10.9,7.6,43.42
640.0,Perambalur Nakkaselam,11.3186,78.9171,7.4,2350.0,460.0,84.0,61.0,322.0,9.0,0.0,110.0,447.0,293.76,155.0,0.54,6.21,2022-05-01,0.288,-0.01,48.12,0,2,4.0,13.8,-71.01
641.0,Perambalur Padalur,11.096,78.8252,7.6,6330.0,1660.0,28.0,386.0,685.0,10.0,0.0,305.0,1702.0,480.0,35.0,1.29,194.0,2022-05-01,0.364,0.137,23.53,0,2,12.3,17.9,-31.28
642.0,Perambalur Palaiyur,11.1636,78.8575,7.52,1165.0,430.0,30.0,86.0,74.0,5.0,0.0,195.0,85.0,254.4,81.0,0.84,8.54,2022-05-01,0.114,0.55,30.98,0,2,14.9,12.6,18.25
643.0,Perambalur Perambalur,11.1586,78.9364,7.67,888.0,235.0,22.0,44.0,81.0,28.0,0.0,244.0,71.0,96.0,74.0,1.51,47.51,2022-05-01,0.325,0.057,37.66,0,2,14.8,6.1,142.62
644.0,Perambalur Perambalur,11.2333,78.883,7.76,920.0,100.0,16.0,15.0,150.0,14.0,0.0,244.0,67.0,91.2,74.0,1.49,13.52,2022-05-01,0.248,0.161,38.44,0,2,10.4,17.0,-38.82
645.0,Perambalur Ranjankudi(Mangalamedu),11.3472,78.9412,7.5,1689.0,100.0,24.0,10.0,345.0,2.0,0.0,622.0,142.0,72.0,112.0,1.94,20.22,2022-05-01,0.329,0.202,52.27,0,2,1.4,23.0,-93.91
646.0,Perambalur Therku Mathevi (Aathukeni),11.14,79.2375,7.55,3890.0,510.0,74.0,79.0,644.0,24.0,0.0,305.0,851.0,408.0,81.0,0.77,7.51,2022-05-01,0.184,0.208,63.49,0,2,7.4,12.7,-41.73
647.0,Perambalur Valikandapuram,11.2325,79.3142,7.74,1315.0,255.0,32.0,43.0,184.0,9.0,0.0,189.0,89.0,240.0,192.0,1.07,6.42,2022-05-01,0.723,0.329,76.62,0,2,18.4,9.3,97.85
648.0,Perambalur Veppur(Nallur),11.3167,79.0636,7.89,4130.0,450.0,8.0,105.0,736.0,2.0,0.0,995.0,709.0,192.0,61.0,1.4,13.2,2022-05-01,0.516,0.56,59.42,0,2,11.7,13.9,-15.83
649.0,Perambalur Vijayagopalapuram,11.27,79.0314,7.51,6830.0,1720.0,48.0,389.0,764.0,20.0,0.0,671.0,1418.0,672.0,186.0,1.26,168.01,2022-05-01,0.575,0.068,53.4,0,2,10.8,6.0,80.0
650.0,Pondicherry AUROVILLE,11.9971,79.8355,7.54,491.0,160.0,40.0,15.0,32.0,13.0,0.0,195.0,35.0,19.2,19.0,1.05,0.19,2022-05-01,0.652,-0.015,33.73,0,1,5.4,21.4,-74.77
651.0,Pondicherry CAPPER QUARRY,11.722,79.7234,7.24,565.0,200.0,56.0,15.0,30.0,12.0,0.0,226.0,39.0,28.8,12.0,0.18,0.16,2022-05-01,0.449,0.038,61.47,0,0,7.4,21.5,-65.58
652.0,Pondicherry KARUVADUKUPPAM,11.9723,79.8132,7.45,726.0,260.0,52.0,32.0,41.0,9.0,0.0,275.0,71.0,24.0,12.0,0.65,0.08,2022-05-01,0.161,0.521,37.31,0,0,17.9,16.8,6.55
653.0,Pondicherry Kattukuppam,11.8075,79.7803,7.66,900.0,250.0,80.0,12.0,92.0,5.0,0.0,336.0,71.0,48.0,37.0,0.45,0.38,2022-05-01,0.476,0.352,52.2,0,1,13.3,12.1,9.92
654.0,Pondicherry KUDIKADU,11.6822,79.7519,7.83,1200.0,260.0,44.0,36.0,152.0,8.0,0.0,232.0,213.0,96.0,12.0,0.96,0.23,2022-05-01,0.511,0.1,65.06,0,0,15.7,21.0,-25.24
655.0,Pondicherry M.N. Kuppam,11.9012,79.8331,7.47,1441.0,550.0,96.0,75.0,76.0,5.0,0.0,342.0,156.0,192.0,25.0,0.38,1.46,2022-05-01,0.622,0.471,40.61,0,1,9.1,16.1,-43.48
656.0,Pondicherry MANAMEDU,11.8088,79.6871,7.5,648.0,200.0,40.0,24.0,55.0,4.0,0.0,244.0,53.0,28.8,25.0,0.38,0.08,2022-05-01,0.402,0.503,51.2,0,1,12.6,21.5,-41.4
657.0,Pondicherry Manapattu EW,11.7992,79.7747,7.78,1340.0,400.0,76.0,51.0,120.0,8.0,0.0,354.0,142.0,110.4,68.0,0.9,0.2,2022-05-01,0.189,0.493,53.3,0,2,5.0,17.6,-71.59
658.0,Pondicherry Mangalam -I,11.9028,79.7391,7.63,2640.0,450.0,64.0,70.0,391.0,13.0,0.0,427.0,532.0,144.0,68.0,0.18,0.95,2022-05-01,0.299,0.543,47.02,0,2,14.1,20.7,-31.88
659.0,Pondicherry MANJAKUPPAM,11.7665,79.7678,7.81,303.0,100.0,20.0,12.0,18.0,9.0,0.0,61.0,35.0,19.2,37.0,0.52,0.04,2022-05-01,0.354,0.077,56.56,0,1,8.6,17.0,-49.41
660.0,Pondicherry PILLAICHAVADI,12.0146,79.8502,7.49,620.0,160.0,40.0,15.0,60.0,13.0,0.0,183.0,71.0,48.0,12.0,0.38,0.08,2022-05-01,0.552,0.429,31.32,0,0,8.9,13.3,-33.08
661.0,Pondicherry Pondicherry,11.9333,79.8349,7.59,1220.0,180.0,40.0,19.0,194.0,6.0,0.0,409.0,89.0,96.0,62.0,0.65,1.18,2022-05-01,0.5,0.222,38.03,0,2,13.0,24.2,-46.28
662.0,Pondicherry Reddichavadi,11.9368,79.827,7.61,1195.0,300.0,80.0,24.0,131.0,10.0,0.0,183.0,110.0,240.0,50.0,0.59,0.25,2022-05-01,0.349,0.489,38.45,0,2,18.7,15.8,18.35
663.0,Pondicherry Villanur,11.9158,79.7557,7.74,1667.0,400.0,84.0,46.0,193.0,10.0,0.0,598.0,85.0,192.0,37.0,0.46,0.23,2022-05-01,0.791,0.41,46.13,0,1,1.3,17.1,-92.4
664.0,Pondicherry VILLIANUR,11.7665,79.7678,7.49,788.0,280.0,48.0,39.0,41.0,20.0,0.0,171.0,106.0,96.0,50.0,0.51,0.41,2022-05-01,0.524,0.444,56.56,0,2,16.5,9.4,75.53
665.0,Pudukkottai Adanakottai Dw,10.521,78.957,6.3,34.0,2.0,0.0,0.0,91.0,4.0,38.0,0.2,0.0,,,,,2022-05-01,0.266,0.359,23.66,0,0,5.8,17.5,-66.86
666.0,Pudukkottai Alavoyal Pz,10.3234,78.5464,7.58,1741.0,480.0,60.0,80.0,196.0,5.0,0.0,561.0,263.0,77.0,25.0,1.94,13.32,2022-05-01,0.171,0.024,8.82,0,2,8.9,16.4,-45.73
667.0,Pudukkottai Aranthangi DW,10.175,78.9981,7.45,1264.0,200.0,52.0,17.0,156.0,60.0,0.0,354.0,199.0,58.0,1.0,0.42,0.73,2022-05-01,0.207,0.282,47.56,0,0,0.4,8.7,-95.4
668.0,Pudukkottai Devuipattinam DW,9.4808,78.8976,7.66,5690.0,880.0,168.0,112.0,788.0,168.0,0.0,769.0,1124.0,347.0,291.0,0.4,6.77,2022-05-01,0.272,0.589,32.57,0,2,6.0,6.2,-3.23
669.0,Pudukkottai Kallal DW,9.986,78.6669,7.35,1172.0,290.0,60.0,34.0,90.0,88.0,0.0,390.0,164.0,51.0,31.0,0.51,2.08,2022-05-01,0.212,0.556,29.73,0,1,10.1,17.1,-40.94
670.0,Pudukkottai Kandanur Dw,10.105,78.825,7.62,754.0,215.0,60.0,16.0,61.0,13.0,0.0,250.0,103.0,31.0,20.0,0.29,0.48,2022-05-01,0.231,-0.07,38.66,0,0,1.1,20.3,-94.58
671.0,Pudukkottai Kodumbalur BW,10.5425,78.5122,7.35,2470.0,500.0,112.0,54.0,300.0,75.0,0.0,512.0,398.0,180.0,33.0,0.64,4.14,2022-05-01,0.3,0.015,26.99,0,1,9.8,15.5,-36.77
672.0,Pudukkottai Lekkampatti Pz,10.5597,78.7264,7.27,3540.0,880.0,112.0,146.0,339.0,7.0,0.0,329.0,910.0,54.0,154.0,0.72,3.63,2022-05-01,0.221,-0.008,15.12,0,2,18.5,9.5,94.74
673.0,Pudukkottai Melur Pz,10.2408,78.7339,7.73,604.0,230.0,34.0,35.0,33.0,1.0,0.0,299.0,43.0,6.0,2.0,0.52,0.8,2022-05-01,0.728,0.408,24.92,0,0,2.1,18.3,-88.52
674.0,Pudukkottai Oliyamangalam (Vengampatti) Pz,10.4183,78.529,7.31,1270.0,460.0,88.0,58.0,101.0,5.0,0.0,390.0,192.0,42.0,34.0,0.58,8.26,2022-05-01,0.156,0.472,18.48,0,1,15.3,6.6,131.82
675.0,Pudukkottai Padamathur pz,9.8538,78.371,7.77,593.0,205.0,32.0,30.0,51.0,2.0,0.0,329.0,28.0,8.0,1.0,0.96,0.87,2022-05-01,0.467,0.049,27.34,0,0,8.2,13.8,-40.58
676.0,Pudukkottai Peraiyur Dw,9.3569,78.4467,7.7,3580.0,780.0,72.0,146.0,456.0,3.0,0.0,415.0,740.0,294.0,49.0,0.85,4.87,2022-05-01,0.387,0.254,26.48,0,2,13.1,8.3,57.83
677.0,Pudukkottai Perambur BW,10.6166,78.645,7.81,858.0,120.0,20.0,17.0,148.0,4.0,0.0,451.0,60.0,24.0,0.0,0.4,2.14,2022-05-01,0.788,0.488,18.78,0,0,5.2,8.7,-40.23
678.0,Pudukkottai Pokkisarpatti Dw,10.4749,78.8915,7.49,1170.0,220.0,40.0,29.0,123.0,46.0,0.0,256.0,149.0,61.0,42.0,0.4,0.3,2022-05-01,0.178,0.413,23.75,0,1,3.2,9.0,-64.44
679.0,Pudukkottai Puttampur Pz,10.4646,78.8495,7.47,1735.0,550.0,72.0,90.0,114.0,5.0,0.0,378.0,370.0,32.0,28.0,0.79,1.12,2022-05-01,0.378,0.28,23.4,0,1,3.2,12.7,-74.8
680.0,Pudukkottai RS Mangalam DW,9.6388,78.8603,6.47,1208.0,290.0,88.0,17.0,146.0,8.0,0.0,61.0,306.0,74.0,4.0,0.41,0.48,2022-05-01,0.779,0.313,49.11,0,0,1.4,6.0,-76.67
681.0,Pudukkottai Sadayampatti PZ,10.3894,78.5508,7.42,1254.0,480.0,68.0,75.0,87.0,7.0,0.0,378.0,213.0,50.0,8.0,0.95,3.37,2022-05-01,0.706,0.256,15.82,0,0,3.7,13.0,-71.54
682.0,Pudukkottai Sakkotai Pz,10.0995,78.8625,6.91,407.0,118.0,31.0,9.7,32.0,1.0,0.0,30.0,87.0,0.0,39.0,0.0,0.0,2022-05-01,0.672,0.108,42.71,0,1,13.3,15.2,-12.5
683.0,Pudukkottai Sayalkudi Dw,9.1699,78.45,7.75,1070.0,280.0,40.0,44.0,143.0,12.0,0.0,439.0,114.0,41.0,1.0,0.56,0.62,2022-05-01,0.281,0.296,40.98,0,0,17.6,14.7,19.73
684.0,Pudukkottai Sikkal DW,9.2483,78.64,7.7,1343.0,270.0,72.0,22.0,199.0,10.0,0.0,476.0,185.0,67.0,1.0,0.59,0.69,2022-05-01,0.22,0.382,20.53,0,0,16.3,12.7,28.35
685.0,Pudukkottai Thirumayam DW,10.2427,78.7455,7.32,3020.0,500.0,96.0,63.0,419.0,5.0,0.0,488.0,612.0,192.0,13.0,1.02,2.77,2022-05-01,0.568,0.511,26.2,0,2,13.7,21.8,-37.16
686.0,Pudukkottai Thirunallur N BW,10.2848,79.0224,7.49,769.0,230.0,36.0,34.0,55.0,12.0,0.0,244.0,100.0,50.0,0.0,0.34,0.0,2022-05-01,0.751,0.345,36.45,0,0,2.2,7.9,-72.15
687.0,Pudukkottai Tiruvadanai DW,9.7857,78.9149,7.4,1630.0,50.0,16.0,2.4,366.0,4.0,0.0,390.0,320.0,25.0,0.0,1.23,0.0,2022-05-01,0.49,0.433,61.08,0,1,5.8,15.1,-61.59
688.0,Pudukkottai Uchipulli Dw,9.3054,79.0242,7.53,677.0,140.0,54.0,1.2,71.0,5.0,0.0,189.0,89.0,31.0,0.0,0.07,0.02,2022-05-01,0.5,0.012,25.78,0,0,6.2,6.2,0.0
689.0,Pudukkottai Udaikulam DW,9.4398,78.557,7.62,850.0,230.0,30.0,38.0,73.0,8.0,0.0,336.0,100.0,21.0,0.0,0.56,0.34,2022-05-01,0.296,0.223,24.16,0,0,5.0,6.4,-21.88
690.0,Pudukkottai Vathiripatti Pz,10.4839,78.6803,7.64,817.0,200.0,26.0,33.0,112.0,1.0,0.0,464.0,36.0,16.0,3.0,1.26,6.23,2022-05-01,0.639,-0.093,24.95,0,1,10.3,16.5,-37.58
691.0,Pudukkottai Vayyapuri DW,10.3469,78.6172,7.7,1590.0,430.0,36.0,83.0,193.0,1.0,0.0,561.0,249.0,35.0,8.0,2.44,1.47,2022-05-01,0.231,0.073,15.85,0,2,10.7,16.3,-34.36
692.0,Pudukkottai Vegupatti Pz,10.2755,78.5619,7.27,2510.0,740.0,112.0,112.0,241.0,8.0,0.0,439.0,484.0,114.0,62.0,1.0,110.2,2022-05-01,0.327,0.409,6.31,0,2,7.1,22.6,-68.58
693.0,Pudukkottai Viralimalai DW,10.6083,78.5499,7.76,3110.0,460.0,48.0,83.0,529.0,41.0,0.0,854.0,398.0,139.0,161.0,2.76,3.57,2022-05-01,0.398,0.594,29.19,0,2,7.1,16.2,-56.17
694.0,Pudukottai Avudayarkoil,10.0749,79.0424,7.51,2340.0,340.0,48.0,54.0,410.0,27.0,0.0,525.0,427.0,60.0,40.0,0.4,28.33,2022-05-01,0.455,-0.031,54.69,0,1,16.6,24.2,-31.4
695.0,Pudukottai Mandangudi Dw,10.4853,78.9283,7.85,4320.0,480.0,40.0,92.0,684.0,245.0,0.0,720.0,782.0,318.0,64.0,0.87,44.79,2022-05-01,0.27,0.181,24.7,0,2,15.8,6.0,163.33
696.0,Pudukottai Sundarapatti Pz,10.3588,78.7069,7.31,5270.0,1180.0,112.0,219.0,688.0,3.0,0.0,586.0,1316.0,141.0,190.0,1.22,20.43,2022-05-01,0.18,0.46,24.84,0,2,6.2,7.0,-11.43
697.0,Pudukottai Thirukkalambur Pz,10.2055,78.4912,7.53,1808.0,590.0,24.0,129.0,149.0,8.0,0.0,622.0,313.0,37.0,6.0,2.04,11.01,2022-05-01,0.527,0.043,5.65,0,2,18.3,5.9,210.17
698.0,Pudukottai Vayalogam Pz,10.3972,78.6919,7.71,749.0,320.0,36.0,56.0,26.0,1.0,0.0,396.0,39.0,7.0,1.0,0.51,1.16,2022-05-01,0.302,0.289,25.8,0,0,19.1,8.7,119.54
699.0,Ramanathapuram Athikadu Vadakkur Dw,10.1904,78.5293,7.47,757.0,250.0,16.0,51.0,43.0,12.0,0.0,342.0,64.0,20.0,4.0,0.4,3.81,2022-05-01,0.507,0.413,7.28,0,0,6.5,15.8,-58.86
700.0,Ramanathapuram Bogalur DW,9.4024,78.7078,7.03,15430.0,3220.0,392.0,545.0,2335.0,7.0,0.0,647.0,4907.0,710.0,3.0,1.02,25.13,2022-05-01,0.208,0.331,25.74,0,2,7.1,17.9,-60.34
701.0,Ramanathapuram Chettinadu DW,10.1516,78.7641,7.3,1820.0,320.0,56.0,44.0,278.0,7.0,0.0,427.0,334.0,49.0,2.0,0.44,0.38,2022-05-01,0.437,0.032,30.4,0,1,10.1,5.9,71.19
702.0,Ramanathapuram Erachi Dw,10.2327,78.9685,7.37,857.0,220.0,54.0,21.0,79.0,22.0,0.0,207.0,132.0,51.0,25.0,0.78,0.42,2022-05-01,0.473,0.149,44.77,0,1,18.8,23.9,-21.34
703.0,Ramanathapuram Ervadi Dw,9.223,78.7024,7.67,785.0,230.0,38.0,33.0,56.0,17.0,0.0,262.0,103.0,18.0,0.0,0.17,0.0,2022-05-01,0.136,0.449,13.12,0,0,17.5,21.8,-19.72
704.0,Ramanathapuram Kamudhi Pz,9.4154,78.3777,7.3,488.0,130.0,30.0,13.0,46.0,4.0,0.0,152.0,50.0,15.0,32.0,0.61,0.0,2022-05-01,0.336,0.288,19.63,0,1,2.1,10.9,-80.73
705.0,RAMANATHAPURAM Kizhakakarai,9.2394,78.784,7.83,6450.0,800.0,200.0,73.0,1017.0,32.0,0.0,817.0,1387.0,312.0,164.0,2.28,3.36,2022-05-01,0.194,-0.096,5.92,0,2,7.9,6.5,21.54
706.0,Ramanathapuram Mimisal DW,9.9283,79.1476,6.82,16210.0,1380.0,88.0,282.0,3402.0,53.0,0.0,183.0,5121.0,682.0,8.0,0.55,17.49,2022-05-01,0.144,0.433,66.85,0,2,11.1,8.4,32.14
707.0,Ramanathapuram Mukundarayar Chathram Dw,9.2003,79.3804,7.58,1136.0,290.0,64.0,32.0,132.0,28.0,0.0,329.0,142.0,150.0,0.0,0.74,0.02,2022-05-01,0.793,-0.075,62.42,0,0,10.1,7.5,34.67
708.0,Ramanathapuram Muthupatti Pz,9.8437,78.4985,7.36,2500.0,720.0,160.0,78.0,165.0,3.0,0.0,305.0,555.0,8.0,34.0,1.02,0.99,2022-05-01,0.326,0.422,30.11,0,1,3.9,7.5,-48.0
709.0,Ramanathapuram Paramakudi DW,9.5417,78.5375,7.66,1133.0,280.0,52.0,36.0,128.0,28.0,0.0,354.0,114.0,82.0,62.0,0.9,0.71,2022-05-01,0.667,0.042,16.18,0,2,17.2,15.4,11.69
710.0,Ramanathapuram Parthibanur DW,9.5805,78.4511,7.73,1721.0,120.0,24.0,15.0,351.0,3.0,0.0,512.0,242.0,147.0,40.0,1.53,3.7,2022-05-01,0.278,0.571,5.76,0,2,13.5,9.9,36.36
711.0,Ramanathapuram Pudukottai DW,10.3719,78.8155,7.52,1729.0,380.0,40.0,68.0,216.0,4.0,0.0,427.0,327.0,25.0,3.0,0.73,2.9,2022-05-01,0.577,0.158,33.19,0,1,16.8,12.2,37.7
712.0,Ramanathapuram Pudukottai Pz,10.3853,78.8077,7.3,718.0,180.0,38.0,21.0,79.0,6.0,0.0,232.0,89.0,46.0,1.0,0.49,0.57,2022-05-01,0.632,0.129,31.69,0,0,17.2,24.8,-30.65
713.0,Ramanathapuram Pudupatti DW,10.5592,79.0597,6.96,215.0,70.0,22.0,3.9,11.0,5.0,0.0,59.0,31.0,6.0,2.0,0.16,0.0,2022-05-01,0.517,0.004,21.49,0,0,15.0,18.7,-19.79
714.0,Ramanathapuram Solandur DW,9.5631,78.8608,7.14,741.0,90.0,18.0,11.0,103.0,48.0,0.0,183.0,121.0,43.0,0.0,0.41,1.34,2022-05-01,0.43,0.114,40.76,0,0,8.8,24.0,-63.33
715.0,Ramanathapuram Thirupullani Dw,9.3667,78.7833,7.72,670.0,100.0,30.0,6.1,93.0,6.0,0.0,287.0,46.0,37.0,1.0,0.59,1.43,2022-05-01,0.388,0.514,19.07,0,0,12.2,7.9,54.43
716.0,Ramanathapuram Vaniyavallam DW,9.5458,78.6918,7.39,670.0,230.0,44.0,29.0,54.0,5.0,0.0,329.0,43.0,19.0,0.0,1.09,1.37,2022-05-01,0.344,0.597,32.75,0,1,3.2,12.6,-74.6
717.0,Ramanathapuram U Kosamangai Dw,9.3152,78.7343,7.84,6930.0,640.0,72.0,112.0,1142.0,194.0,0.0,671.0,1742.0,336.0,1.0,0.9,1.84,2022-05-01,0.751,0.158,15.95,0,2,13.5,16.1,-16.15
718.0,Salem Akkaripalayam,11.3406,78.05,7.24,5760.0,1060.0,172.0,153.0,672.0,8.0,0.0,323.0,1463.0,255.0,86.0,0.93,7.62,2022-05-01,0.681,0.214,59.3,0,2,3.6,6.5,-44.62
719.0,Salem Athur,11.5917,78.5861,7.62,1334.0,550.0,52.0,102.0,84.0,6.0,0.0,378.0,206.0,135.0,67.0,0.8,2.71,2022-05-01,0.776,0.405,14.98,0,2,13.9,5.1,172.55
720.0,Salem Attayampatti Ghss,11.5253,78.075,7.72,2500.0,650.0,96.0,100.0,239.0,19.0,0.0,458.0,398.0,246.0,125.0,1.38,1.72,2022-05-01,0.187,0.52,59.32,0,2,4.6,18.4,-75.0
721.0,Salem Attayampatti S.Puram,11.5253,78.075,7.32,6370.0,2130.0,400.0,275.0,514.0,5.0,0.0,189.0,1882.0,454.0,59.0,1.05,15.15,2022-05-01,0.612,0.315,59.32,0,2,2.4,17.8,-86.52
722.0,Salem Ayodhyapattinam,11.6697,78.2389,7.87,2950.0,880.0,88.0,161.0,224.0,4.0,0.0,549.0,462.0,276.0,125.0,1.24,4.4,2022-05-01,0.757,0.174,41.86,0,2,3.3,13.2,-75.0
723.0,Salem Dhasanaickanpatty dw,11.6094,78.1453,7.8,1594.0,340.0,76.0,36.0,166.0,5.0,0.0,354.0,178.0,144.0,99.0,0.98,2.25,2022-05-01,0.227,0.189,53.36,0,2,0.0,14.8,-100.0
724.0,Salem Elampillai dw,11.6089,78.0108,7.83,2830.0,550.0,80.0,85.0,317.0,27.0,0.0,573.0,426.0,249.0,29.0,2.15,11.92,2022-05-01,0.147,0.387,53.46,0,2,14.4,13.3,8.27
725.0,Salem Gangavalli,11.4958,78.65,7.56,2320.0,670.0,140.0,78.0,138.0,139.0,0.0,525.0,419.0,129.0,81.0,0.73,1.01,2022-05-01,0.619,-0.098,25.69,0,2,14.6,5.5,165.45
726.0,Salem Gudamali dw,11.4603,78.5875,7.6,1970.0,650.0,76.0,112.0,108.0,15.0,0.0,512.0,277.0,80.0,79.0,1.32,2.18,2022-05-01,0.502,0.334,29.42,0,2,10.3,11.7,-11.97
727.0,Salem Idapadi new,11.5839,77.85,7.63,2100.0,810.0,104.0,134.0,131.0,10.0,0.0,708.0,355.0,74.0,44.0,1.95,3.76,2022-05-01,0.689,0.149,35.45,0,2,3.2,8.5,-62.35
728.0,Salem Jalakandapuram,11.7056,77.8722,7.4,1755.0,550.0,96.0,75.0,110.0,47.0,0.0,525.0,256.0,94.0,31.0,1.59,18.04,2022-05-01,0.198,0.456,43.1,0,2,1.7,7.0,-75.71
729.0,Salem Karumbapatti,11.5822,77.8611,7.54,4930.0,880.0,76.0,168.0,768.0,29.0,0.0,750.0,1058.0,465.0,12.0,1.75,39.12,2022-05-01,0.657,-0.035,36.6,0,2,0.4,24.1,-98.34
730.0,Salem Karuppur,11.7178,78.0769,7.67,1849.0,780.0,76.0,144.0,88.0,7.0,0.0,567.0,234.0,202.0,31.0,1.91,1.02,2022-05-01,0.241,0.312,59.41,0,2,3.3,17.0,-80.59
731.0,Salem Keeripati,11.5417,78.4917,7.56,1028.0,490.0,88.0,66.0,32.0,4.0,0.0,305.0,170.0,78.0,29.0,0.49,1.38,2022-05-01,0.215,0.237,24.27,0,1,17.8,19.6,-9.18
732.0,Salem Konganapuram,11.5667,77.9,7.79,1257.0,600.0,80.0,97.0,48.0,22.0,0.0,439.0,149.0,101.0,73.0,1.8,4.49,2022-05-01,0.215,0.35,40.47,0,2,4.8,11.3,-57.52
733.0,Salem Kulathur,11.8472,77.7472,7.82,1160.0,510.0,100.0,63.0,37.0,6.0,0.0,287.0,135.0,144.0,76.0,0.71,0.0,2022-05-01,0.67,-0.055,44.54,0,2,7.1,12.9,-44.96
734.0,Salem Kullampatti,11.5833,77.7917,7.7,1260.0,390.0,88.0,41.0,62.0,53.0,0.0,305.0,227.0,8.0,60.0,0.53,0.55,2022-05-01,0.566,0.306,29.22,0,2,2.1,9.7,-78.35
